번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
387,노원은빛청춘노인교실,서울특별시 노원구 월계동 321번지 ,,20011029,운영중,,,,,,,0,2,11,205271.8355,458634.3704,운영
388,중계노인교실,서울특별시 노원구 중계동 501-1번지 ,,20000421,운영중,,,,,,,90,0,0,205370.1027,460101.2742,운영
389,평화노인교실,서울특별시 노원구 중계동 514-3번지 ,,19990830,운영중,,,,,,,350,0,0,206020.8912,460461.895,운영
390,(사)대한노인회 노원구지회 부설 노인교실,서울특별시 노원구 중계동 507-3번지 ,,19901205,운영중,,,,,,,150,0,0,205735.9585,459705.4355,운영
391,보라매노인교실,서울특별시 동작구 신대방동 474-3번지 ,,20020909,운영중,,,,,,,50,0,70,192317.316,443450.2111,운영
392,(사)대한노인회 동작구지회 부설 노인교실,서울특별시 동작구 대방동 407-8번지 ,,19970117,운영중,,,,,,,150,0,150,192960.8633,444006.4939,운영
393,상도노인교실,서울특별시 동작구 상도동 600-2번지 ,,19970117,운영중,,,,,,,50,0,100,,,운영
394,남현노인교실,서울특별시 동작구 상도동 159-56번지 ,,19980403,운영중,,,,,,,50,0,70,195317.7126,444325.1222,운영
395,제일교회노인교실,서울특별시 동작구 흑석동 80-3번지 ,,20000621,운영중,,,,,,,50,0,50,196616.3204,444550.1041,운영
396,예수성심노인교실,서울특별시 동작구 사당동 42번지 ,,20070607,운영중,,,,,,,101,0,101,198191.3275,443294.5855,운영
397,우장산성당 부설 시니어아카데미,서울특별시 강서구 화곡동 ,,20150121,운영중,,,,,,,58,,,,,운영
398,방화3동성당 성가정 시니어아카데미,서울특별시 강서구 방화동 ,,20150407,운영중,,,,,,,80,,,,,운영
399,예장경향교회 노인교실,서울특별시 강서구 등촌동 ,,20130515,운영중,,,,,,,0,,,,,운영
400,목양중앙교회,서울특별시 강서구 화곡동 409-77번지 ,,20130822,운영중,,,,,,,100,,,186546.2429,448316.2308,운영
401,예원시니어대학,서울특별시 강서구 등촌동 ,,20140303,운영중,,,,,,,100,,,,,운영
402,강서제자노인교실,서울특별시 강서구 방화동 609-201번지 ,,20101202,운영중,,,,,,,,,,183333.9498,451431.3939,운영
403,노인 지도자 대학,서울특별시 강서구 등촌동 637-19번지 ,,20100217,운영중,,,,,,,110,,,187493.0364,450452.1144,운영
404,순교자 노인대학,서울특별시 강서구 등촌동 695-3번지 ,,20090204,운영중,,,,20150306,,,130,0,0,186257.3361,450824.7118,운영
405,발음어르신문화교실,서울특별시 강서구 내발산동 709-8번지 ,,20070920,운영중,,,,,,,150,1,20,185296.6247,449912.7046,운영
406,한빛노인교실,서울특별시 강서구 화곡동 332-12번지 ,,20080722,운영중,,,,,,,80,2,21,186432.4902,448228.923,운영
407,강남교회,서울특별시 강서구 화곡동 957-10번지 ,,20080306,운영중,,,,,,,160,0,2,186870.4525,449767.4201,운영
408,배광노인교실,서울특별시 강서구 등촌동 564-1번지 ,,20060327,운영중,,,,,,,90,0,11,,,운영
409,영신늘푸른노인교실,서울특별시 강서구 방화동 805번지 ,,20060329,운영중,,,,,,,100,0,6,183033.558,452692.4021,운영
410,등촌제일교회노인교실,서울특별시 강서구 등촌동 631-9번지 ,,20050119,운영중,,,,,,,200,0,12,187759.1099,450414.4482,운영
411,하상시니어아카데미,서울특별시 강서구 화곡동 883번지 ,,20031023,운영중,,,,20031023,,,130,0,120,,,운영
412,천사노인교실,서울특별시 강서구 가양동 1481번지 ,,19940106,운영중,,,,,,,100,0,0,187084.1032,451262.6534,운영
413,염창교회 노인교실,서울특별시 강서구 염창동 264-30번지 ,,20031120,운영중,,,,,,,170,0,18,188510.0198,449784.8121,운영
414,등촌1동성당 노인교실 평생대학,서울특별시 강서구 등촌동 등촌1동천주교회 ,,19910509,운영중,,,,,,,100,,,,,운영
415,치유하는교회 늘푸른실버대학,서울특별시 강서구 화곡동 346-46번지 ,,20011203,운영중,,,,,,,200,0,5,,,운영
416,성모시니어아카데미 노인교실,서울특별시 강서구 화곡동 105-244번지 ,,20011207,운영중,,,,,,,120,0,11,,,운영
417,성산어르신문화교실,서울특별시 강서구 방화동 487-7번지 ,,20011024,운영중,,,,20010124,,,200,0,0,183107.5716,452405.3562,운영
418,강서교회노인교실,서울특별시 강서구 화곡동 358-15번지 ,,20000331,운영중,,,,20000331,,,100,0,0,185667.4628,447734.235,운영
419,성지교회노인교실,서울특별시 강서구 가양동 1479-3번지 ,,20000506,운영중,,,,20000506,,,53,0,0,186842.638,451287.1126,운영
420,양화노인예능교실,서울특별시 강서구 등촌동 646-1번지 ,,19970804,운영중,,,,,,,50,0,0,187829.899,450184.3128,운영
421,까치산노인교실,서울특별시 강서구 화곡동 105-456번지 ,,19980303,운영중,,,,19980303,,,80,0,0,186141.4478,448370.2151,운영
422,강서시니어대학,서울특별시 강서구 내발산동 671-30번지 ,,19910207,운영중,,,,,,,80,0,1,185800.8171,450225.7543,운영
423,남서울교회 늘푸른노인교실,서울특별시 영등포구 당산동 ,,20090320,운영중,,,,,,,,,,,,운영
424,도림노인교실,서울특별시 영등포구 도림동 ,,19811012,운영중,,,,,,,,,,,,운영
425,신길노인교실,서울특별시 영등포구 신길동 ,,20050103,운영중,,,,,,,,,,,,운영
426,영신노인교실,서울특별시 영등포구 당산동4가 ,,20040101,운영중,,,,,,,,,,,,운영
427,소망영신 노인교실,서울특별시 영등포구 신길동 ,,20081113,운영중,,,,,,,,,,,,운영
428,대림교회 노인교실,서울특별시 영등포구 신길동 ,,20081209,운영중,,,,,,,,,,,,운영
429,한국복지정보통신어르신정보화교실,서울특별시 광진구 자양동 주식회사 케이티 자양빌딩 B동 ,,20170417,운영중,,,,,,,105,1,4,,,운영
